"","","Value","Std.Error","DF","t-value","p-value"
"(Intercept)","Step 1","0.681715969795309","0.017522975260709","18287","38.9041221397997","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000366389201642952"
"JudgmentSemantic","Step 1","0.0519689682590519","0.00480188483094709","18287","10.8226186359413","0.00000000000000000000000000325243834651993"
"JudgmentThematic","Step 1","0.108255108143543","0.00479115724926174","18287","22.5947725176884","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001634803099925"
"LogSub.1","Step 1","0.0138784071447215","0.00322166642685673","18287","4.30783492326431","0.0000165720261230863"
"LogSub.2","Step 1","-0.0317632891760169","0.00344544002657085","18287","-9.21893544251589","0.0000000000000000000331870326389959"
"Length.1","Step 1","-0.00469859307016683","0.00168380684396971","18287","-2.79045847033709","0.00526879640993925"
"Length.2","Step 1","-0.00114680020013675","0.00140066206124059","18287","-0.818755809749718","0.412936417003532"
"(Intercept)","Step 2","0.822019958759501","0.0872308622421708","15089","9.4234991794235","0.00000000000000000000498395909669225"
"JudgmentSemantic","Step 2","0.0503048326208586","0.00517989879426155","15089","9.71154739096213","0.00000000000000000000031274576402913"
"JudgmentThematic","Step 2","0.102777749617484","0.00517955050727352","15089","19.8429862732597","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000160287840469722"
"LogSub.1","Step 2","0.0249176933532066","0.00559131703053728","15089","4.45649803384735","0.00000839092885463392"
"LogSub.2","Step 2","-0.0224735073396525","0.00538398742935625","15089","-4.17413815216496","0.0000300793456447849"
"Length.1","Step 2","-0.0103917295937597","0.00201678440913858","15089","-5.15262293117304","0.000000260107263439362"
"Length.2","Step 2","-0.000813807434045814","0.00169368770794177","15089","-0.480494385257587","0.630882860675515"
"AOA.1","Step 2","0.0147099441129964","0.00198344649510356","15089","7.41635539416372","0.000000000000126788457522328"
"AOA.2","Step 2","-0.0142874098876013","0.0022507823417778","15089","-6.34775278906633","0.000000000224725470268158"
"Familiarity.1","Step 2","0.0753425768514589","0.0132327634357939","15089","5.69363891503276","0.0000000126675242535083"
"Familiarity.2","Step 2","-0.0906194979696345","0.0111058767450029","15089","-8.15959874670938","0.000000000000000362469690448221"
"Valence.1","Step 2","-0.000160257318451024","0.0022226426779052","15089","-0.0721021512113067","0.942521569889011"
"Valence.2","Step 2","-0.0217709987984787","0.00212257408139086","15089","-10.2568852551958","0.00000000000000000000000132730552286316"
"Imageability.1","Step 2","0.053135800440408","0.00518084362626995","15089","10.256206184448","0.00000000000000000000000133660418982652"
"Imageability.2","Step 2","-0.0736469757997727","0.00547951767420179","15089","-13.4404121272409","0.0000000000000000000000000000000000000000602824549558918"
"QCON.1","Step 2","-0.0148048977307635","0.00357259120633164","15089","-4.14402232881419","0.0000343128042228229"
"QCON.2","Step 2","0.0449353231766127","0.00443652678039778","15089","10.1284913629179","0.00000000000000000000000492911641307797"
"(Intercept)","Step 3","1.01682718712825","0.100283646203656","15079","10.1395115317535","0.00000000000000000000000440743877105593"
"JudgmentSemantic","Step 3","0.0502250482579436","0.00513028212093116","15079","9.78991935999566","0.000000000000000000000145222526870185"
"JudgmentThematic","Step 3","0.102638005317962","0.00513118468968589","15079","20.0027891267047","0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000007161878806837"
"LogSub.1","Step 3","0.0352540858047354","0.00582106415042748","15079","6.05629570362087","0.00000000142599650844762"
"LogSub.2","Step 3","-0.0172273578557552","0.006108891358761","15079","-2.82004652628971","0.00480793417509651"
"Length.1","Step 3","-0.0255283845736694","0.00257592687488348","15079","-9.91036850563711","0.0000000000000000000000441459518582038"
"Length.2","Step 3","0.0177076654504514","0.0023977883532219","15079","7.38499935853708","0.000000000000160428720595596"
"AOA.1","Step 3","0.0137278605998337","0.0020483127253498","15079","6.70203354689862","0.0000000000212829559082412"
"AOA.2","Step 3","-0.0194502983920637","0.00282065175303097","15079","-6.89567521802827","0.00000000000557398387437983"
"Familiarity.1","Step 3","0.0871137981823273","0.0144879931470909","15079","6.0128271250473","0.00000000186523783286487"
"Familiarity.2","Step 3","-0.117415054788267","0.0122142471553694","15079","-9.61295880906184","0.000000000000000000000814153430725369"
"Valence.1","Step 3","0.00477375818122533","0.00235435366921994","15079","2.02763002162161","0.0426155730225458"
"Valence.2","Step 3","-0.0258351361039129","0.00232341974974836","15079","-11.1194441326028","0.00000000000000000000000000013035501204135"
"Imageability.1","Step 3","0.0634239128406287","0.00545777082828598","15079","11.6208457328259","0.000000000000000000000000000000438088410842138"
"Imageability.2","Step 3","-0.0771525235310214","0.0056451143981376","15079","-13.6671319816787","0.00000000000000000000000000000000000000000284945618871799"
"QCON.1","Step 3","-0.02587561423186","0.00380835685319451","15079","-6.79443004668933","0.0000000000112815005572964"
"QCON.2","Step 3","0.046326040731439","0.00462131143066036","15079","10.0244360127054","0.0000000000000000000000141093390898192"
"QSS.1","Step 3","-0.00578054602393723","0.000585815653604633","15079","-9.8675171760407","0.0000000000000000000000675417596362459"
"TSS.2","Step 3","-0.00254453615818547","0.00051603910329966","15079","-4.93089795311089","0.000000827233852588383"
"FSS.1","Step 3","-0.00181498198943965","0.000312753542131469","15079","-5.80323400038969","0.0000000066353872450853"
"FSS.2","Step 3","0.0016338236244487","0.000261600959882523","15079","6.24548023517345","0.000000000433828326597578"
"COSC.1","Step 3","0.000134131625555024","0.0000420490207574528","15079","3.18988702088266","0.00142619659303354"
"COSC.2","Step 3","-0.000105802240750304","0.0000377348246394421","15079","-2.80383549575886","0.00505631987286137"
"Ortho.1","Step 3","-0.00150124699139021","0.000626880960972298","15079","-2.39478798185507","0.0166421073400414"
"Ortho.2","Step 3","0.00163897264430462","0.000514039286944414","15079","3.18841902930633","0.00143345290689598"
"Phono.1","Step 3","-0.0015417096101237","0.000241241866721832","15079","-6.39072160679888","0.00000000016995324072144"
"Phono.2","Step 3","0.00134993760468264","0.000245403438279598","15079","5.5008911616984","0.0000000384028671373932"
"(Intercept)","Step 4","0.736607564506587","0.101265729884337","15072","7.27400637261902","0.000000000000366163368712576"
"JudgmentSemantic","Step 4","0.050649383828017","0.00496510495993014","15072","10.2010701156919","0.00000000000000000000000235296146981235"
"JudgmentThematic","Step 4","0.102479152709534","0.00496553239050944","15072","20.638099734361","0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000242819373120866"
"LogSub.1","Step 4","0.0185914061360711","0.00594716713906843","15072","3.12609444149291","0.00177481314943406"
"LogSub.2","Step 4","-0.0169675115457925","0.00610021670354552","15072","-2.78146045794255","0.00541821402944121"
"Length.1","Step 4","-0.0183039308118686","0.00256107470166163","15072","-7.14697263613319","0.000000000000927825169276234"
"Length.2","Step 4","-0.0000442461184551144","0.0025195944686956","15072","-0.0175608094893226","0.985989453792343"
"AOA.1","Step 4","0.0163808494242324","0.00210540038235676","15072","7.78039633767704","0.0000000000000076968906915414"
"AOA.2","Step 4","-0.0105913918689147","0.00283472138581142","15072","-3.73630788617449","0.000187431045206371"
"Familiarity.1","Step 4","0.093770811354923","0.0145361882673689","15072","6.45085283914637","0.000000000114613752891782"
"Familiarity.2","Step 4","-0.0874896797717117","0.0119728726595663","15072","-7.30732567357658","0.000000000000286178859247155"
"Valence.1","Step 4","0.00715594534361587","0.00231110013118922","15072","3.09633721492355","0.00196286913461066"
"Valence.2","Step 4","-0.0207214559998426","0.00241199024701842","15072","-8.59101981256243","0.00000000000000000945535941435606"
"Imageability.1","Step 4","0.0296609062507286","0.00545131992533036","15072","5.44105036156563","0.0000000537940249386779"
"Imageability.2","Step 4","-0.0686946902898217","0.00552269518169224","15072","-12.4386170211865","0.0000000000000000000000000000000000240458575701904"
"QCON.1","Step 4","-0.00670423133313459","0.00384364111924187","15072","-1.7442396740872","0.0811376908502692"
"QCON.2","Step 4","0.0361770269939491","0.00455791557897984","15072","7.93718671771588","0.00000000000000221309414970064"
"QSS.1","Step 4","0.00429993780285856","0.000662817061146596","15072","6.48736741239003","0.0000000000900728170516116"
"TSS.2","Step 4","-0.000983998728383137","0.000537607786474668","15072","-1.83032826744503","0.0672206036990416"
"FSS.1","Step 4","-0.00113551608649484","0.000309099172482557","15072","-3.67363030245227","0.000239956616709304"
"FSS.2","Step 4","0.000303017316604206","0.000269432064580102","15072","1.12465202341987","0.260754429566967"
"COSC.1","Step 4","-0.0000356326632432851","0.0000421154781183204","15072","-0.846070490834218","0.397526853592168"
"COSC.2","Step 4","-0.0000697809371476008","0.0000384685745363394","15072","-1.81397252143258","0.0697018323340376"
"Ortho.1","Step 4","0.00173140165737813","0.000633740562182859","15072","2.73203541116965","0.00630176741603419"
"Ortho.2","Step 4","0.000097039335689594","0.000523745218632456","15072","0.1852796593408","0.853012184393616"
"Phono.1","Step 4","-0.0014907150034324","0.000240385222547571","15072","-6.20135875089989","0.00000000057437884870469"
"Phono.2","Step 4","0.000957313107743266","0.000248614728894761","15072","3.85058886896641","0.000118321248203688"
"ZFSG","Step 4","0.381724112041936","0.0217174152293674","15072","17.5768666763689","0.000000000000000000000000000000000000000000000000000000000000000000017844276782707"
"ZLSA","Step 4","0.124537303033688","0.0158230628281687","15072","7.87061925912237","0.00000000000000376783148467142"
"ZCOS","Step 4","0.0328344696985728","0.011275150354081","15072","2.91210925508309","0.00359523562593889"
"ZFSG:ZLSA","Step 4","-0.372249103186824","0.106604482284276","15072","-3.49187102840732","0.000481023192224732"
"ZFSG:ZCOS","Step 4","-0.0550736723152094","0.0921465632100142","15072","-0.597674730306427","0.550065969215555"
"ZLSA:ZCOS","Step 4","-0.354628966378586","0.0590685816630954","15072","-6.00368176099528","0.00000000197320569664221"
"ZFSG:ZLSA:ZCOS","Step 4","0.54882723142085","0.339607615669324","15072","1.61606279158134","0.106101667280288"
"ZFSG","Low COS Low LSA","0.498200491526879","0.0651736511465649","15072","7.64420103465597","0.0000000000000222893138587987"
"ZLSA_low","Low COS Low LSA","0.22556941490532","0.0242914936303954","15072","9.28594257469085","0.0000000000000000000181750650964095"
"ZCOS_low","Low COS Low LSA","0.102584792632538","0.0176577496778283","15072","5.80961869458075","0.00000000638784405629829"
"ZFSG:ZLSA_low","Low COS Low LSA","-0.508421847254077","0.185755988478208","15072","-2.73704148877937","0.00620671431463811"
"ZFSG:ZCOS_low","Low COS Low LSA","-0.146771313567493","0.14036727632793","15072","-1.04562343451476","0.295751694050534"
"ZLSA_low:ZCOS_low","Low COS Low LSA","-0.345093755537553","0.0588510419527896","15072","-5.86385124352408","0.00000000461715212834114"
"ZFSG:ZLSA_low:ZCOS_low","Low COS Low LSA","0.486876940394729","0.336334491528829","15072","1.44759741464992","0.147750473823617"
"ZFSG","Low COS Average LSA","0.39806783279169","0.0400422705001175","15072","9.9411903426036","0.0000000000000000000000324794436565119"
"ZLSA","Low COS Average LSA","0.22586419332511","0.0242239516811917","15072","9.32400280093354","0.0000000000000000000127298108877664"
"ZCOS_low","Low COS Average LSA","0.033037504624541","0.0112684669798658","15072","2.93185441139167","0.00337451130666511"
"ZFSG:ZLSA","Low COS Average LSA","-0.520475735791924","0.184537414821042","15072","-2.82043474108849","0.00480212663922267"
"ZFSG:ZCOS_low","Low COS Average LSA","-0.0553511808032143","0.091892651613508","15072","-0.602346105279628","0.54695283847225"
"ZLSA:ZCOS_low","Low COS Average LSA","-0.347970041972731","0.0587551083959349","15072","-5.92237937215356","0.00000000324220167842847"
"ZFSG:ZLSA:ZCOS_low","Low COS Average LSA","0.522039312867962","0.335456415505173","15072","1.55620607846122","0.119680092649803"
"ZFSG","Low COS High LSA","0.293259515707295","0.0408925893567998","15072","7.17145869997421","0.000000000000776541291132764"
"ZLSA_high","Low COS High LSA","0.226098646852261","0.0241502269083492","15072","9.36217484458064","0.00000000000000000000889404587215144"
"ZCOS_low","Low COS High LSA","-0.0376184515245265","0.0147494854327141","15072","-2.55049246945859","0.0107668846196017"
"ZFSG:ZLSA_high","Low COS High LSA","-0.532079842455838","0.183260566564362","15072","-2.9034060760091","0.00369663194770227"
"ZFSG:ZCOS_low","Low COS High LSA","0.0497894107184223","0.0780540909241597","15072","0.637883423263485","0.523559259834286"
"ZLSA_high:ZCOS_low","Low COS High LSA","-0.350614573423957","0.05863772096634","15072","-5.97933493399619","0.00000000229112041426511"
"ZFSG:ZLSA_high:ZCOS_low","Low COS High LSA","0.556993534018665","0.334474213270366","15072","1.6652809451963","0.0958775016363903"
"ZFSG","High COS Low LSA","0.410863489200746","0.0418744147971453","15072","9.81180253362624","0.000000000000000000000117102393506494"
"ZLSA_low","High COS Low LSA","0.0207511472437269","0.0221007680971241","15072","0.938933305509282","0.347780034227522"
"ZCOS_high","High COS Low LSA","0.104848635690108","0.0177574063032267","15072","5.90450169916177","0.0000000036131876373279"
"ZFSG:ZLSA_low","High COS Low LSA","-0.216951799285731","0.0830332265638313","15072","-2.61283113114906","0.00898847959624186"
"ZFSG:ZCOS_high","High COS Low LSA","-0.156780285683309","0.141626603072587","15072","-1.10699743044006","0.268312706296736"
"ZLSA_low:ZCOS_high","High COS Low LSA","-0.358408513757833","0.059483629772214","15072","-6.02533024851239","0.00000000172694073574238"
"ZFSG:ZLSA_low:ZCOS_high","High COS Low LSA","0.53944288259351","0.344663455426106","15072","1.56512932862754","0.117573582060539"
"ZFSG","High COS Average LSA","0.365559381638774","0.0274221221480052","15072","13.3308202649577","0.000000000000000000000000000000000000000259140491213379"
"ZLSA","High COS Average LSA","0.0194833813009694","0.0221010805728998","15072","0.881557860336468","0.378030009567963"
"ZCOS_high","High COS Average LSA","0.0326196311368745","0.0112792022089198","15072","2.89201581217139","0.00383326138602741"
"ZFSG:ZLSA","High COS Average LSA","-0.208754481830887","0.0829232759066396","15072","-2.517441328125","0.0118313485339107"
"ZFSG:ZCOS_high","High COS Average LSA","-0.0548178286391093","0.0923290910907626","15072","-0.593722173493743","0.552706860051741"
"ZLSA:ZCOS_high","High COS Average LSA","-0.360773012433063","0.0593506794412617","15072","-6.07866693068129","0.00000000124107118756048"
"ZFSG:ZLSA:ZCOS_high","High COS Average LSA","0.577137374221614","0.343571057376916","15072","1.67981953610389","0.0930131578339045"
"ZFSG","High COS High LSA","0.323476851633474","0.0173838043324531","15072","18.6079436610771","0.000000000000000000000000000000000000000000000000000000000000000000000000000198675739996422"
"ZLSA_high","High COS High LSA","0.0182927028899178","0.0220963651213122","15072","0.827860274279878","0.407762742697812"
"ZCOS_high","High COS High LSA","-0.0405140455458171","0.0148402175128535","15072","-2.73001696307529","0.00634046203001954"
"ZFSG:ZLSA_high","High COS High LSA","-0.200220736003849","0.0827854401197436","15072","-2.4185501184054","0.0155942693118831"
"ZFSG:ZCOS_high","High COS High LSA","0.0618496463617666","0.0797387969716726","15072","0.775653116308475","0.437965999072184"
"ZLSA_high:ZCOS_high","High COS High LSA","-0.362905367835061","0.0591960006043999","15072","-6.13057240573255","0.00000000089746273320269"
"ZFSG:ZLSA_high:ZCOS_high","High COS High LSA","0.614545990554697","0.342368192340453","15072","1.79498564499703","0.0726760154516151"
